OCCUR_DATE,Incident Count,,Occur_Date,Incident Count,,New Years,,Memorial Day,,Thanksgiving,,Black Friday,,Christmas ,,,,,,,
07-29-2008,1,,,,,,,,,,,,,,,,,,,,
07-29-2008,1,,,,,,,,,,,,,,,,,,,,
07-29-2008,1,,,,,,,,,,,,,,,,,,,,
07-29-2008,1,,,,,,,,,,,,,,,,,,,,
07-29-2008,1,,,,,,,,,,,,,,,,,,,,
07-29-2008,1,,,,,,,,,,,,,,,,,,,,
07-29-2008,1,,,,,,,,,,,,,,,,,,,,
07-29-2008,1,,,,,,,,,,,,,,,,,,,,
07-29-2008,1,,,,,,,,,,,,,,,,,,,,
07-29-2008,1,,,,,,,,,,,,,,,,,,,,
07-29-2008,1,,,,,,,,,,,,,,,,,,,,
07-29-2008,1,,,,,,,,,,,,,,,,,,,,
07-29-2008,1,,,,,,,,,,,,,,,,,,,,
07-29-2008,1,,,,,,,,,,,,,,,,,,,,
07-29-2008,1,,,,,,,,,,,,,,,,,,,,
07-29-2008,1,,,,,,,,,,,,,,,,,,,,
07-29-2008,1,,,,,,,,,,,,,,,,,,,,
07-29-2007,1,,,,,,,,,,,,,,,,,,,,
07-29-2007,1,,,,,,,,,,,,,,,,,,,,
07-29-2007,1,,,,,,,,,,,,,,,,,,,,
07-29-2007,1,,,,,,,,,,,,,,,,,,,,
07-29-2007,1,,,,,,,,,,,,,,,,,,,,
07-29-2007,1,,,,,,,,,,,,,,,,,,,,
07-29-2007,1,,,,,,,,,,,,,,,,,,,,
07-29-2007,1,,,,,,,,,,,,,,,,,,,,
07-29-2007,1,,,,,,,,,,,,,,,,,,,,
07-29-2007,1,,,,,,,,,,,,,,,,,,,,
07-29-2007,1,,,,,,,,,,,,,,,,,,,,
07-29-2006,1,,,,,,,,,,,,,,,,,,,,
07-29-2006,1,,,,,,,,,,,,,,,,,,,,
07-29-2006,1,,,,,,,,,,,,,,,,,,,,
07-29-2006,1,,,,,,,,,,,,,,,,,,,,
07-28-2017,1,,,,,,,,,,,,,,,,,,,,
07-28-2017,1,,,,,,,,,,,,,,,,,,,,
07-28-2016,1,,,,,,,,,,,,,,,,,,,,
07-28-2015,1,,,,,,,,,,,,,,,,,,,,
07-28-2015,1,,,,,,,,,,,,,,,,,,,,
07-28-2015,1,,,,,,,,,,,,,,,,,,,,
07-28-2015,1,,,,,,,,,,,,,,,,,,,,
07-28-2014,1,,,,,,,,,,,,,,,,,,,,
07-28-2014,1,,,,,,,,,,,,,,,,,,,,
07-28-2014,1,,,,,,,,,,,,,,,,,,,,
07-28-2013,1,,,,,,,,,,,,,,,,,,,,
07-28-2013,1,,,,,,,,,,,,,,,,,,,,
07-28-2013,1,,,,,,,,,,,,,,,,,,,,
07-28-2013,1,,,,,,,,,,,,,,,,,,,,
07-28-2013,1,,,,,,,,,,,,,,,,,,,,
07-28-2013,1,,,,,,,,,,,,,,,,,,,,
07-28-2013,1,,,,,,,,,,,,,,,,,,,,
07-28-2013,1,,,,,,,,,,,,,,,,,,,,
07-28-2013,1,,,,,,,,,,,,,,,,,,,,
07-28-2013,1,,,,,,,,,,,,,,,,,,,,
07-28-2012,1,,,,,,,,,,,,,,,,,,,,
07-28-2012,1,,,,,,,,,,,,,,,,,,,,
07-28-2012,1,,,,,,,,,,,,,,,,,,,,
07-28-2012,1,,,,,,,,,,,,,,,,,,,,
07-28-2012,1,,,,,,,,,,,,,,,,,,,,
07-28-2012,1,,,,,,,,,,,,,,,,,,,,
07-28-2012,1,,,,,,,,,,,,,,,,,,,,
07-28-2012,1,,,,,,,,,,,,,,,,,,,,
07-28-2012,1,,,,,,,,,,,,,,,,,,,,
07-28-2012,1,,,,,,,,,,,,,,,,,,,,
07-28-2012,1,,,,,,,,,,,,,,,,,,,,
07-28-2012,1,,,,,,,,,,,,,,,,,,,,
07-28-2012,1,,,,,,,,,,,,,,,,,,,,
07-28-2011,1,,,,,,,,,,,,,,,,,,,,
07-28-2011,1,,,,,,,,,,,,,,,,,,,,
07-28-2011,1,,,,,,,,,,,,,,,,,,,,
07-28-2011,1,,,,,,,,,,,,,,,,,,,,
07-28-2011,1,,,,,,,,,,,,,,,,,,,,
07-28-2011,1,,,,,,,,,,,,,,,,,,,,
07-28-2011,1,,,,,,,,,,,,,,,,,,,,
07-28-2011,1,,,,,,,,,,,,,,,,,,,,
07-28-2011,1,,,,,,,,,,,,,,,,,,,,
07-28-2011,1,,,,,,,,,,,,,,,,,,,,
07-28-2010,1,,,,,,,,,,,,,,,,,,,,
07-28-2010,1,,,,,,,,,,,,,,,,,,,,
07-28-2010,1,,,,,,,,,,,,,,,,,,,,
07-28-2010,1,,,,,,,,,,,,,,,,,,,,
07-28-2010,1,,,,,,,,,,,,,,,,,,,,
07-28-2010,1,,,,,,,,,,,,,,,,,,,,
07-28-2009,1,,,,,,,,,,,,,,,,,,,,
